time_ns,dec_i_data,dec_o_valid,dec_o_data,int_i_data,interp_o_valid,interp_o_data
4055.0,249,0,58173,247,1,54933
4065.0,249,0,58173,247,1,55005
4075.0,249,0,58173,247,1,55078
4085.0,249,0,58173,247,1,55150
4095.0,249,0,58173,247,1,55222
4105.0,249,0,58173,247,1,55294
4115.0,249,0,58173,247,1,55366
4125.0,250,0,58173,247,1,55437
4135.0,250,0,58173,247,1,55509
4145.0,250,0,58173,247,1,55580
4155.0,250,0,58173,247,1,55651
4165.0,250,0,58173,247,1,55721
4175.0,250,0,58173,247,1,55792
4185.0,250,0,58173,247,1,55862
4195.0,250,0,58173,247,1,55933
4205.0,250,0,58173,247,1,56003
4215.0,250,0,58173,247,1,56072
4225.0,251,0,58173,247,1,56142
4235.0,251,0,58173,247,1,56211
4245.0,251,0,58173,247,1,56281
4255.0,251,0,58173,247,1,56350
4265.0,251,0,58173,247,1,56419
4275.0,251,0,58173,247,1,56487
4285.0,251,0,58173,247,1,56556
4295.0,251,0,58173,247,1,56624
4305.0,251,0,58173,247,1,56692
4315.0,251,0,58173,247,1,56760
4325.0,252,0,58173,247,1,56828
4335.0,252,0,58173,247,1,56895
4345.0,252,0,58173,247,1,56963
4355.0,252,0,58173,247,1,57030
4365.0,252,0,58173,247,1,57097
4375.0,252,0,58173,247,1,57164
4385.0,252,0,58173,247,1,57230
4395.0,252,0,58173,247,1,57297
4405.0,252,0,58173,247,1,57363
4415.0,252,0,58173,247,1,57429
4425.0,252,0,58173,247,1,57495
4435.0,253,0,58173,247,1,57561
4445.0,253,0,58173,247,1,57626
4455.0,253,0,58173,247,1,57692
4465.0,253,0,58173,247,1,57757
4475.0,253,0,58173,247,1,57822
4485.0,253,0,58173,247,1,57886
4495.0,253,0,58173,247,1,57951
4505.0,253,0,58173,247,1,58015
4515.0,253,0,58173,247,1,58080
4525.0,253,0,58173,247,1,58144
4535.0,253,1,61659,247,1,58207
4545.0,253,0,61659,253,1,58271
4555.0,253,0,61659,253,1,58334
4565.0,253,0,61659,253,1,58397
4575.0,253,0,61659,253,1,58460
4585.0,254,0,61659,253,1,58522
4595.0,254,0,61659,253,1,58585
4605.0,254,0,61659,253,1,58647
4615.0,254,0,61659,253,1,58708
4625.0,254,0,61659,253,1,58770
4635.0,254,0,61659,253,1,58831
4645.0,254,0,61659,253,1,58892
4655.0,254,0,61659,253,1,58953
4665.0,254,0,61659,253,1,59013
4675.0,254,0,61659,253,1,59074
4685.0,254,0,61659,253,1,59134
4695.0,254,0,61659,253,1,59193
4705.0,254,0,61659,253,1,59253
4715.0,254,0,61659,253,1,59312
4725.0,254,0,61659,253,1,59371
4735.0,254,0,61659,253,1,59430
4745.0,254,0,61659,253,1,59488
4755.0,254,0,61659,253,1,59547
4765.0,254,0,61659,253,1,59605
4775.0,254,0,61659,253,1,59662
4785.0,255,0,61659,253,1,59720
4795.0,255,0,61659,253,1,59777
4805.0,255,0,61659,253,1,59834
4815.0,255,0,61659,253,1,59891
4825.0,255,0,61659,253,1,59947
4835.0,255,0,61659,253,1,60004
4845.0,255,0,61659,253,1,60060
4855.0,255,0,61659,253,1,60115
4865.0,255,0,61659,253,1,60171
4875.0,255,0,61659,253,1,60226
4885.0,255,0,61659,253,1,60281
4895.0,255,0,61659,253,1,60336
4905.0,255,0,61659,253,1,60390
4915.0,255,0,61659,253,1,60445
4925.0,255,0,61659,253,1,60499
4935.0,255,0,61659,253,1,60552
4945.0,255,0,61659,253,1,60606
4955.0,255,0,61659,253,1,60659
4965.0,255,0,61659,253,1,60712
4975.0,255,0,61659,253,1,60765
4985.0,255,0,61659,253,1,60817
4995.0,255,0,61659,253,1,60870
5005.0,255,0,61659,253,1,60922
5015.0,255,0,61659,253,1,60973
5025.0,255,0,61659,253,1,61025
5035.0,255,0,61659,253,1,61076
5045.0,255,0,61659,253,1,61127
5055.0,255,0,61659,253,1,61178
5065.0,255,0,61659,253,1,61228
5075.0,255,0,61659,253,1,61279
5085.0,255,0,61659,253,1,61329
5095.0,255,0,61659,253,1,61378
5105.0,255,0,61659,253,1,61428
5115.0,255,0,61659,253,1,61477
5125.0,255,0,61659,253,1,61526
5135.0,255,0,61659,253,1,61575
5145.0,255,0,61659,253,1,61623
5155.0,255,0,61659,253,1,61672
5165.0,255,0,61659,253,1,61720
5175.0,255,1,63982,253,1,61767
5185.0,255,0,63982,255,1,61814
5195.0,255,0,63982,255,1,61861
5205.0,255,0,63982,255,1,61908
5215.0,255,0,63982,255,1,61954
5225.0,255,0,63982,255,1,62000
5235.0,255,0,63982,255,1,62045
5245.0,255,0,63982,255,1,62090
5255.0,255,0,63982,255,1,62135
5265.0,255,0,63982,255,1,62179
5275.0,255,0,63982,255,1,62223
5285.0,255,0,63982,255,1,62266
5295.0,255,0,63982,255,1,62309
5305.0,255,0,63982,255,1,62352
5315.0,255,0,63982,255,1,62395
5325.0,255,0,63982,255,1,62437
5335.0,255,0,63982,255,1,62478
5345.0,255,0,63982,255,1,62519
5355.0,254,0,63982,255,1,62560
5365.0,254,0,63982,255,1,62601
5375.0,254,0,63982,255,1,62641
5385.0,254,0,63982,255,1,62681
5395.0,254,0,63982,255,1,62720
5405.0,254,0,63982,255,1,62759
5415.0,254,0,63982,255,1,62798
5425.0,254,0,63982,255,1,62836
5435.0,254,0,63982,255,1,62874
5445.0,254,0,63982,255,1,62911
5455.0,254,0,63982,255,1,62948
5465.0,254,0,63982,255,1,62985
5475.0,254,0,63982,255,1,63022
5485.0,254,0,63982,255,1,63058
5495.0,254,0,63982,255,1,63093
5505.0,254,0,63982,255,1,63128
5515.0,254,0,63982,255,1,63163
5525.0,254,0,63982,255,1,63198
5535.0,254,0,63982,255,1,63232
5545.0,254,0,63982,255,1,63266
5555.0,253,0,63982,255,1,63299
5565.0,253,0,63982,255,1,63332
5575.0,253,0,63982,255,1,63365
5585.0,253,0,63982,255,1,63397
5595.0,253,0,63982,255,1,63429
5605.0,253,0,63982,255,1,63460
5615.0,253,0,63982,255,1,63491
5625.0,253,0,63982,255,1,63522
5635.0,253,0,63982,255,1,63553
5645.0,253,0,63982,255,1,63583
5655.0,253,0,63982,255,1,63612
5665.0,253,0,63982,255,1,63641
5675.0,253,0,63982,255,1,63670
5685.0,253,0,63982,255,1,63699
5695.0,253,0,63982,255,1,63727
5705.0,252,0,63982,255,1,63755
5715.0,252,0,63982,255,1,63782
5725.0,252,0,63982,255,1,63809
5735.0,252,0,63982,255,1,63836
